Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Yoga,2023-07-10 14:57:20,false,"Yoga","--","1","00:00:13.0","73","74","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","89.6","0:00","No","00:13.00","1","89.6","--","--","--","0","65","65","65","65","00:00:13.0","00:00:13.0","--","--"
Strength Training,2023-07-10 14:25:26,false,"Strength","0.00","72","00:31:35","76","101","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","84.2","0:00","No","31:34.52","1","89.6","--","--","--","--","--","--","--","--","00:31:35","00:31:35","--","--"
Indoor Rowing,2023-07-10 08:08:42,false,"Indoor Rowing","--","1,089","01:22:49","155","170","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1582","0","0","0","--","0:00","80.6","0:00","No","01:22:49.30","1","86.0","31","14","41","--","--","--","--","--","00:00:00","01:24:55","--","--"
Indoor Rowing,2023-07-08 09:02:37,false,"Indoor Rowing","--","203","00:20:29","135","188","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","189","0","0","0","--","0:00","78.8","0:00","No","20:29.30","1","82.4","28","19","40","--","--","--","--","--","00:00:00","00:20:29","--","--"
Yoga,2023-07-07 09:37:58,false,"Yoga","--","--","00:07:14.0","72","72","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","80.6","0:00","No","07:13.100","1","80.6","12","10","15","0","20","20","20","20","00:07:14.0","00:07:14.0","--","--"
Strength Training,2023-07-07 09:10:54,false,"Strength","0.00","1","00:26:18","72","72","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","80.6","0:00","No","26:17.86","1","84.2","31","31","31","--","--","--","--","--","00:26:18","00:26:18","--","--"
Indoor Rowing,2023-07-07 08:14:17,false,"Indoor Rowing","--","648","00:52:02","148","165","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","965","0","0","0","--","0:00","80.6","0:00","No","52:01.57","1","86.0","29","11","39","--","--","--","--","--","00:00:00","00:52:02","--","--"
Indoor Cycling,2023-07-06 08:07:56,false,"Indoor Cycling","0.00","1,502","02:12:50","145","175","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","02:12:49.61","1","87.8","31","18","41","--","--","--","--","--","00:00:00","02:27:12","--","--"
Yoga,2023-07-05 15:58:54,false,"Yoga","--","7","00:01:42.1","90","96","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","82.4","0:00","No","01:42.08","1","82.4","12","12","12","23","55","78","78","86","00:01:42.1","00:01:42.1","--","--"
Strength Training,2023-07-05 15:35:20,false,"Strength","0.00","58","00:23:09","73","106","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","18","1","0:00","80.6","0:00","No","23:09.49","1","82.4","--","--","--","--","--","--","--","--","00:23:09","00:23:09","--","--"
Running,2023-07-05 08:16:16,false,"Stonington Running","4.00","581","00:37:52","167","180","3.0","154","166","9:27","7:37","199","181","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:01.27","5","87.8","35","21","43","--","--","--","--","--","00:37:44","00:48:06","32","111"
Yoga,2023-07-04 12:11:06,false,"Yoga","--","5","00:10:43","80","123","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","82.4","0:00","No","10:43.19","1","86.0","17","12","21","-80","98","18","76","98","00:10:43","00:10:43","--","--"
Indoor Rowing,2023-07-04 11:39:04,false,"Indoor Rowing","--","399","00:29:01","165","193","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","577","0","0","0","--","0:00","78.8","0:00","No","29:00.90","1","84.2","34","20","42","--","--","--","--","--","00:00:00","00:29:01","--","--"
Yoga,2023-07-03 15:15:24,false,"Yoga","--","10","00:02:49.3","93","102","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","82.4","0:00","No","02:49.26","1","82.4","11","10","13","3","81","84","85","91","00:02:49.3","00:02:49.3","--","--"
Strength Training,2023-07-03 14:56:22,false,"Strength","0.00","97","00:15:30","104","122","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","6","1","0:00","82.4","0:00","No","15:29.74","1","86.0","--","--","--","--","--","--","--","--","00:15:30","00:15:30","--","--"
Strength Training,2023-07-03 10:28:21,false,"Strength","0.00","58","00:06:57.8","119","145","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","8","1","0:00","80.6","0:00","No","06:57.81","1","82.4","21","13","26","--","--","--","--","--","00:06:57.8","00:06:57.8","--","--"
Indoor Rowing,2023-07-03 08:42:38,false,"Indoor Rowing","--","1,112","01:36:00","148","166","3.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1907","0","0","0","--","0:00","80.6","0:00","No","01:36:00.11","1","84.2","27","12","38","--","--","--","--","--","00:00:00","01:42:41","--","--"
Yoga,2023-07-01 09:08:54,false,"Yoga","--","25","00:04:38.2","106","117","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","80.6","0:00","No","04:38.16","1","82.4","14","12","17","-2","95","93","95","97","00:04:38.2","00:04:38.2","--","--"
Running,2023-07-01 07:57:13,false,"Stonington Running","4.01","565","00:36:11","164","177","3.1","155","162","9:02","7:25","201","183","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:02.10","5","84.2","33","22","43","--","--","--","--","--","00:36:05","00:44:25","29","109"
Yoga,2023-06-30 11:52:59,false,"Yoga","--","2","00:00:49.0","90","94","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","84.2","0:00","No","00:48.97","1","84.2","12","12","15","--","--","--","--","--","00:00:49.0","00:00:49.0","--","--"
Strength Training,2023-06-30 09:46:48,false,"Strength","0.00","120","00:22:14","99","129","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","5","2","0:00","80.6","0:00","No","22:13.58","1","82.4","--","--","--","--","--","--","--","--","00:22:11","00:22:14","--","--"
Indoor Rowing,2023-06-30 08:19:41,false,"Indoor Rowing","--","553","00:47:29","144","164","2.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","957","0","0","0","--","0:00","80.6","0:00","No","47:29.05","1","84.2","28","14","36","--","--","--","--","--","00:00:00","00:47:29","--","--"
